id,date_account_created,timestamp_first_active,date_first_booking,gender,age,signup_method,signup_flow,language,affiliate_channel,affiliate_provider,first_affiliate_tracked,signup_app,first_device_type,first_browser,country_destination
hdy2gh3yrg,2013-07-18,2013-07-18 20:34:29,,-unknown-,,basic,0,en,direct,direct,untracked,Web,Windows Desktop,Chrome,NDF
xmyid8ssgf,2013-08-10,2013-08-10 21:23:07,,-unknown-,,basic,0,en,direct,direct,linked,Web,Windows Desktop,Firefox,NDF
465mq9db18,2014-03-17,2014-03-17 03:28:23,2014-04-15,-unknown-,32.0,basic,0,en,direct,direct,untracked,Web,Windows Desktop,Chrome,other
ryppee14ro,2012-03-21,2012-03-21 13:52:07,2012-08-09,MALE,33.0,facebook,0,en,direct,direct,untracked,iOS,Mac Desktop,Safari,other
zdj2zber3a,2014-06-02,2014-06-02 18:47:26,,-unknown-,,basic,0,en,sem-brand,google,omg,Web,iPad,Mobile Safari,NDF
2qbjmdp7lt,2013-10-13,2013-10-13 17:56:32,,-unknown-,,basic,25,en,direct,direct,untracked,iOS,iPhone,-unknown-,NDF
9mfdk9e2m8,2013-09-03,2013-09-03 18:26:44,,-unknown-,,basic,0,en,seo,facebook,linked,Web,Mac Desktop,Safari,NDF
cra9x3lgda,2013-04-07,2013-04-07 22:33:34,,-unknown-,,basic,0,en,direct,direct,untracked,Web,iPad,Mobile Safari,NDF
zqgoeoycca,2013-12-31,2013-12-31 16:51:02,,FEMALE,26.0,facebook,0,en,direct,direct,untracked,Web,Mac Desktop,Chrome,NDF
cdbuc914ay,2013-11-06,2013-11-06 00:37:28,,FEMALE,26.0,basic,0,en,direct,direct,untracked,Web,Windows Desktop,Chrome,NDF
24erbw1a1p,2012-08-15,2012-08-15 18:22:29,,-unknown-,,basic,0,en,direct,direct,untracked,Web,Windows Desktop,Chrome,NDF
006gvubg9l,2014-02-08,2013-10-25 08:20:22,2014-03-02,MALE,34.0,basic,25,en,direct,direct,untracked,iOS,iPhone,Mobile Safari,US
xq6emwta3x,2013-10-27,2013-10-27 01:46:54,,FEMALE,35.0,facebook,0,en,direct,direct,linked,Web,Mac Desktop,Firefox,NDF
zzd2i7niw3,2011-03-15,2011-03-15 10:07:56,2011-03-18,-unknown-,,basic,2,en,direct,direct,,Web,Other/Unknown,-unknown-,PT
j6w0q920pn,2013-11-15,2013-11-15 17:27:35,,-unknown-,,basic,0,en,direct,direct,untracked,Web,Windows Desktop,IE,NDF
3y5moyk405,2012-12-10,2012-12-10 21:18:16,,FEMALE,51.0,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Safari,NDF
5iuu6pnfoh,2014-05-07,2014-05-07 21:24:14,,MALE,33.0,facebook,0,en,seo,google,linked,Web,Mac Desktop,Safari,NDF
3qxwvimcgz,2013-02-13,2013-02-13 02:09:21,,FEMALE,37.0,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Safari,NDF
vtrkvbbbxr,2013-08-09,2013-08-09 05:06:03,2013-08-15,FEMALE,29.0,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Firefox,US
jhvwtwd1sq,2013-08-20,2013-08-20 18:34:30,,-unknown-,,basic,0,en,direct,direct,untracked,Web,Windows Desktop,Chrome,NDF
der4mh8qrw,2013-03-26,2013-03-26 17:50:41,,-unknown-,,basic,0,en,sem-non-brand,vast,omg,Web,Windows Desktop,IE,NDF
xavtyks0mv,2013-09-12,2013-09-12 03:31:03,,-unknown-,,basic,12,en,api,other,untracked,Android,Other/Unknown,-unknown-,NDF
f1v45ot3g4,2012-10-02,2012-10-02 23:34:00,2012-10-03,-unknown-,,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Safari,US
lezu1tkogt,2012-02-01,2012-02-01 00:26:07,2012-02-01,MALE,30.0,facebook,0,ko,direct,direct,omg,Web,Windows Desktop,IE,US
8jbpytcn6l,2014-04-02,2014-04-02 16:26:13,,MALE,30.0,facebook,12,en,api,other,untracked,iOS,iPhone,-unknown-,NDF
gyiwk2edb8,2013-07-04,2013-07-04 04:06:28,,-unknown-,,basic,0,en,direct,direct,untracked,Web,iPhone,-unknown-,NDF
gvxq5zqdk6,2013-02-09,2013-02-09 04:17:16,,-unknown-,,basic,0,en,sem-brand,google,omg,Web,Mac Desktop,Safari,NDF
c5g7uk7e5g,2013-07-30,2013-07-30 03:45:07,,MALE,23.0,basic,0,en,seo,google,linked,Web,Windows Desktop,Chrome,NDF
1kgj0y8fyi,2011-09-28,2011-09-28 18:05:22,,-unknown-,34.0,basic,2,en,other,craigslist,untracked,Web,Mac Desktop,Chrome,NDF
qnvhga2azi,2013-07-10,2013-07-10 05:55:43,,FEMALE,23.0,facebook,0,en,direct,direct,linked,Web,Windows Desktop,Chrome,NDF
ogjpradz9i,2013-06-15,2013-06-15 17:48:48,,-unknown-,,basic,0,en,direct,direct,untracked,Web,Windows Desktop,Chrome,NDF
om9u9h8s7d,2013-03-07,2013-03-07 19:41:13,2013-03-23,MALE,105.0,basic,0,en,direct,direct,linked,Web,Windows Desktop,Chrome,US
obefz8mecx,2013-07-14,2013-07-14 19:41:34,2013-07-14,OTHER,35.0,basic,0,en,direct,direct,untracked,Web,Windows Desktop,Firefox,US
zawq223n5v,2013-07-13,2013-07-13 21:26:04,,FEMALE,105.0,facebook,0,en,sem-brand,google,linked,Web,Windows Desktop,Chrome,NDF
k3uzadqww5,2014-04-29,2014-04-29 23:24:08,,-unknown-,,basic,0,en,sem-brand,google,omg,Web,Windows Desktop,Firefox,NDF
hpoazhvi4g,2012-08-01,2012-08-01 11:32:28,,MALE,33.0,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Firefox,NDF
it4lau1x2k,2013-09-19,2013-09-19 06:00:15,2013-09-24,-unknown-,31.0,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Chrome,US
4symcdijay,2014-03-31,2014-03-31 17:36:26,2014-04-03,FEMALE,25.0,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Firefox,US
hp5a3n7vwu,2013-10-30,2013-10-30 19:52:25,2013-11-02,FEMALE,25.0,facebook,0,en,direct,direct,untracked,Web,Windows Desktop,IE,FR
iu213uqs8p,2013-09-09,2013-09-09 07:41:50,,-unknown-,,basic,23,en,direct,direct,untracked,Android,Other/Unknown,-unknown-,NDF
pq93p8o79n,2014-01-05,2014-01-05 01:28:45,2014-01-20,-unknown-,,basic,0,en,direct,direct,linked,Web,Mac Desktop,Safari,ES
pul3jatm24,2013-09-24,2013-09-24 17:54:59,,FEMALE,61.0,basic,0,en,sem-brand,google,untracked,Web,Mac Desktop,Chrome,NDF
9oxq04rlp9,2013-03-14,2013-03-14 17:17:23,,FEMALE,54.0,facebook,0,en,direct,direct,untracked,Web,Mac Desktop,Safari,NDF
lz9lbs5bin,2012-06-07,2012-06-07 18:11:06,,MALE,29.0,facebook,0,en,direct,direct,untracked,Web,Windows Desktop,Chrome,NDF
8l6ryyie11,2012-05-18,2012-05-18 18:44:19,,FEMALE,65.0,facebook,0,en,direct,direct,linked,Web,Windows Desktop,Chrome,NDF
az9pobqi2g,2013-08-22,2013-08-22 18:10:38,,FEMALE,34.0,facebook,0,de,direct,direct,untracked,Web,Mac Desktop,Safari,NDF
8w4x33i417,2013-08-05,2013-08-05 17:55:38,,-unknown-,,basic,0,en,direct,direct,linked,Web,Mac Desktop,Firefox,NDF
scgwp3rh2p,2013-07-27,2013-07-27 07:22:01,,-unknown-,,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Safari,NDF
xbfokp30ei,2012-02-20,2012-02-20 22:14:50,,-unknown-,,basic,3,en,direct,direct,linked,Web,Mac Desktop,Firefox,NDF
y6ge2u0lsk,2013-08-28,2013-08-28 05:12:58,,FEMALE,30.0,facebook,0,en,direct,direct,untracked,Web,Mac Desktop,Chrome,NDF
s34fi47vbn,2012-07-17,2012-07-17 18:35:01,2012-07-18,FEMALE,,basic,3,en,direct,direct,linked,Web,Windows Desktop,IE,FR
whrcv8yr9t,2014-06-20,2014-06-20 03:18:12,,-unknown-,,basic,0,en,sem-non-brand,google,untracked,Web,iPad,Mobile Safari,NDF
6s9j9yb23l,2013-08-05,2013-08-05 21:22:08,,MALE,31.0,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Chrome,NDF
007gj7kqdk,2014-02-17,2014-02-17 17:47:21,2014-02-17,-unknown-,,basic,0,en,direct,direct,untracked,Web,Windows Desktop,Chrome,US
d4dj8bza9d,2014-02-05,2014-02-05 04:58:06,2014-07-31,MALE,25.0,basic,0,en,direct,direct,linked,Web,Mac Desktop,Safari,US
3tzef3xrwl,2012-04-09,2012-04-09 19:10:18,2012-04-15,FEMALE,25.0,basic,0,en,sem-brand,google,untracked,Web,Windows Desktop,Firefox,US
468uql00z1,2013-11-01,2013-11-01 11:27:48,2013-11-07,FEMALE,29.0,basic,0,en,direct,direct,untracked,Web,iPad,Mobile Safari,IT
q157euyw1d,2013-07-11,2013-07-11 13:59:50,,-unknown-,,basic,0,en,direct,direct,untracked,Web,iPad,Mobile Safari,NDF
wq51bf02mm,2014-01-20,2014-01-20 04:43:18,,-unknown-,,basic,0,en,sem-brand,google,omg,Web,Windows Desktop,IE,NDF
3e63y9huc0,2014-05-31,2014-05-31 22:03:19,2014-06-01,-unknown-,,basic,0,en,sem-brand,google,omg,Web,Windows Desktop,Chrome,US
pzf3yx0sdg,2013-08-25,2013-08-25 16:18:15,,-unknown-,,basic,0,cs,direct,direct,linked,Web,Mac Desktop,Safari,NDF
l8jyvzhoye,2011-04-25,2011-04-25 21:39:27,,MALE,25.0,basic,3,en,direct,direct,linked,Web,Mac Desktop,Chrome,NDF
l2l5xp3bf0,2011-10-22,2011-10-22 07:49:40,2011-10-26,MALE,32.0,facebook,2,en,direct,direct,untracked,Web,Windows Desktop,Firefox,US
whbnkyfgmj,2013-10-23,2013-10-23 15:08:27,2014-04-29,MALE,25.0,facebook,12,en,api,other,untracked,iOS,iPhone,-unknown-,US
w9kenl4b5n,2013-06-12,2013-06-12 05:24:33,2013-06-15,FEMALE,29.0,basic,0,en,sem-non-brand,google,omg,Web,Windows Desktop,Chrome,US
qp8vqv458a,2013-09-01,2013-09-01 17:57:45,,FEMALE,47.0,facebook,0,en,direct,direct,untracked,Web,Mac Desktop,Safari,NDF
szxjp6l435,2014-04-12,2014-04-12 17:21:22,,-unknown-,,basic,24,en,direct,direct,linked,Moweb,iPhone,Mobile Safari,NDF
e5guz7gzti,2013-08-24,2013-08-24 19:23:14,,-unknown-,,basic,0,en,direct,direct,untracked,Web,iPad,Mobile Safari,NDF
zetmmxy42m,2014-05-28,2014-05-28 06:34:37,,-unknown-,,basic,0,en,sem-non-brand,google,omg,Web,Windows Desktop,Firefox,NDF
98wriyn80i,2012-07-16,2012-07-16 03:13:59,,MALE,,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Safari,NDF
vbww7btiwz,2013-06-30,2013-06-30 16:26:29,,-unknown-,,basic,25,en,direct,direct,untracked,iOS,iPhone,-unknown-,NDF
zg5onby9r1,2013-12-16,2013-12-16 22:16:33,,-unknown-,,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Safari,NDF
p0a421j4oy,2013-09-21,2013-09-21 23:59:00,2013-10-01,-unknown-,,basic,24,en,direct,direct,linked,Moweb,Windows Desktop,Chrome,US
nkyjmncte5,2014-05-21,2014-05-21 21:39:23,,-unknown-,,basic,0,en,direct,direct,untracked,Web,iPad,Mobile Safari,NDF
usw4sxi43s,2012-11-15,2012-11-15 02:04:40,2012-12-18,FEMALE,25.0,facebook,0,en,direct,direct,untracked,Web,Mac Desktop,Safari,US
uff3l0mvww,2014-01-14,2014-01-14 00:21:39,2014-08-17,FEMALE,23.0,facebook,12,en,api,other,linked,iOS,iPad,Mobile Safari,FR
c9r3jc6rcd,2013-05-03,2013-05-03 16:26:21,,-unknown-,,basic,0,en,sem-non-brand,google,omg,Web,Mac Desktop,Firefox,NDF
h2e0013rjj,2014-05-02,2014-05-02 00:26:36,,FEMALE,21.0,facebook,0,en,seo,google,linked,Web,Mac Desktop,Chrome,NDF
0mpu4tdtam,2012-05-02,2012-05-02 07:06:52,2012-05-04,-unknown-,,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Chrome,US
yh5c3ebzep,2014-03-17,2014-03-17 20:55:59,,-unknown-,,basic,25,en,direct,direct,untracked,iOS,iPhone,-unknown-,NDF
qkq3nha156,2013-07-24,2013-07-24 06:45:08,,FEMALE,42.0,facebook,0,en,direct,direct,untracked,Web,Mac Desktop,Chrome,NDF
alhznkxqov,2012-08-25,2012-08-25 00:25:15,2012-08-25,FEMALE,53.0,basic,0,en,sem-brand,google,omg,Web,Mac Desktop,Chrome,US
614j353ga2,2013-11-05,2013-11-05 22:40:43,2013-11-08,FEMALE,37.0,basic,25,en,direct,direct,untracked,iOS,iPhone,-unknown-,US
7z9qj0nt5y,2012-12-11,2012-12-11 23:06:16,2012-12-19,-unknown-,,basic,0,en,direct,direct,untracked,Web,Windows Desktop,Firefox,US
chyi7ix6ig,2013-01-05,2013-01-05 22:34:18,,-unknown-,,basic,0,en,direct,direct,linked,Web,Mac Desktop,Chrome,NDF
5mrnmf0goe,2014-02-13,2014-02-13 13:19:07,,-unknown-,,basic,25,zh,direct,direct,untracked,iOS,Windows Desktop,Chrome,NDF
xa0tp0nlf6,2012-10-23,2012-10-23 03:14:11,2013-01-12,-unknown-,43.0,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Safari,US
9lzs5pznxr,2014-01-22,2014-01-22 03:35:01,2014-01-22,-unknown-,,basic,0,en,direct,direct,untracked,Web,Windows Desktop,IE,US
2j57npt23j,2012-04-10,2012-04-10 00:15:58,2012-04-10,-unknown-,,basic,0,en,remarketing,google,,Web,Other/Unknown,-unknown-,US
qietnwwev9,2012-12-31,2012-12-31 02:46:05,,FEMALE,42.0,facebook,0,en,direct,direct,linked,Web,iPad,Mobile Safari,NDF
6g92fkfd2w,2011-03-06,2011-03-06 00:03:49,,-unknown-,,basic,2,en,direct,direct,untracked,Web,Mac Desktop,Safari,NDF
iusi08ne5g,2013-08-17,2013-08-17 02:58:39,,FEMALE,51.0,facebook,0,en,other,other,linked,Web,iPhone,Mobile Safari,NDF
b6b8gnorpy,2012-06-30,2012-06-30 06:31:10,2012-06-30,MALE,,basic,3,en,direct,direct,untracked,Web,Windows Desktop,Chrome,other
36d92b03nk,2014-04-27,2014-04-27 22:11:00,,FEMALE,22.0,facebook,25,en,direct,direct,untracked,iOS,iPhone,-unknown-,NDF
9a2gtwy7xm,2014-01-08,2014-01-08 19:01:12,,-unknown-,,basic,0,en,sem-brand,google,untracked,Web,Windows Desktop,IE,NDF
7vabuie638,2012-10-02,2012-10-02 16:33:18,2013-06-01,FEMALE,31.0,facebook,0,en,direct,direct,omg,Web,Mac Desktop,Safari,ES
nua00q8crw,2012-05-12,2012-05-12 19:55:07,,MALE,49.0,facebook,0,en,sem-non-brand,google,omg,Web,Mac Desktop,Safari,NDF
043h779p7n,2012-09-22,2012-09-22 13:46:04,2012-09-23,FEMALE,,basic,0,en,direct,direct,untracked,Web,Windows Desktop,IE,IT
g39akpa01c,2013-11-02,2013-11-02 06:32:33,,FEMALE,59.0,facebook,0,en,other,other,linked,Web,Windows Desktop,Chrome,NDF
9hlahaoi9u,2013-10-27,2013-10-27 04:37:14,2013-10-27,MALE,27.0,facebook,0,en,direct,direct,omg,Web,Windows Desktop,Chrome,US
gdlzkf2b9t,2013-01-07,2013-01-07 21:48:21,2013-01-09,FEMALE,,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Safari,US
1kchg9f9pu,2013-05-12,2013-05-12 01:50:10,2013-05-12,MALE,47.0,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Safari,AU
4bj8w0isu0,2012-09-22,2012-09-22 05:29:05,,-unknown-,,basic,12,en,api,other,linked,Moweb,iPad,Mobile Safari,NDF
3b0i4hl9q7,2011-10-06,2011-10-06 06:55:09,2011-10-16,FEMALE,32.0,facebook,2,en,other,craigslist,untracked,Web,Mac Desktop,Firefox,IT
vv7fakf8w0,2013-10-17,2013-10-17 21:39:47,2013-10-22,-unknown-,,basic,0,en,direct,direct,linked,Web,Windows Desktop,Chrome,US
6s1r83t15t,2014-03-20,2014-03-20 08:06:19,,-unknown-,,basic,24,en,seo,google,linked,Moweb,Mac Desktop,Chrome,NDF
wdcuduf10f,2014-06-06,2014-06-06 02:18:02,,FEMALE,61.0,facebook,0,en,direct,direct,untracked,Web,Android Tablet,IE,NDF
s1xgmyz7z3,2013-10-13,2013-10-13 15:00:38,2013-10-13,FEMALE,34.0,basic,25,en,direct,direct,untracked,iOS,iPhone,-unknown-,US
hcqrbhdnu1,2014-02-13,2014-02-13 06:56:23,2014-02-13,MALE,34.0,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Safari,US
3ivkfdpse9,2013-09-25,2013-09-25 21:12:56,2014-01-17,MALE,27.0,facebook,0,en,direct,direct,omg,Web,Windows Desktop,Firefox,US
n2h2afndxl,2014-05-28,2014-05-28 08:53:23,,MALE,28.0,facebook,0,en,direct,direct,untracked,Web,Mac Desktop,Chrome,NDF
v61furm6w1,2013-01-30,2013-01-30 21:26:11,,-unknown-,,basic,0,en,direct,direct,linked,Web,Windows Desktop,IE,NDF
